,id,name,symbol,slug,num_market_pairs,date_added,cmc_rank,last_updated,quote.GBP.price,quote.GBP.volume_24h,quote.GBP.volume_change_24h,quote.GBP.percent_change_1h,quote.GBP.percent_change_24h,sentiment,popularity
0,1,Bitcoin,BTC,bitcoin,9306,2013-04-28T00:00:00.000Z,1,2022-04-06T16:20:00.000Z,33668.54252540006,26625950574.88792,14.53,-0.14860996,-4.68280188,0.10085185185185182,1.0066192111696917
1,1027,Ethereum,ETH,ethereum,5618,2015-08-07T00:00:00.000Z,2,2022-04-06T16:20:00.000Z,2477.457285649479,17531128905.21084,31.7805,-0.23064602,-7.0941353,0.1214891304347826,4.1026434627513435
2,825,Tether,USDT,tether,31187,2015-02-25T00:00:00.000Z,3,2022-04-06T16:20:00.000Z,0.7648342228098971,64391087772.83941,14.5085,-0.11279613,-0.46219489,0.20921978021978024,0.46212062615980704
3,1839,BNB,BNB,bnb,789,2017-07-25T00:00:00.000Z,4,2022-04-06T16:20:00.000Z,324.67198337155475,1731367301.4360745,-5.5178,-0.0415733,-6.3432128,0.16237777777777773,1.2969089173582444
4,3408,USD Coin,USDC,usd-coin,3589,2018-10-08T00:00:00.000Z,5,2022-04-06T16:20:00.000Z,0.7642995882986511,3963328658.4238815,25.6137,-0.07234612,-0.5109875,0.22454166666666656,0.046126884570419
5,5426,Solana,SOL,solana,289,2020-04-10T00:00:00.000Z,6,2022-04-06T16:20:00.000Z,89.5056308981035,2218882325.12125,13.7148,0.27209923,-12.31324114,0.20274025974025978,1.7614874918512715
6,4172,Terra,LUNA,terra-luna,198,2019-07-26T00:00:00.000Z,7,2022-04-06T16:20:00.000Z,82.30794942020175,2353006236.567747,10.1282,-0.64227388,-8.3481989,0.0,0.0
7,52,XRP,XRP,xrp,706,2013-08-04T00:00:00.000Z,8,2022-04-06T16:20:00.000Z,0.5932860277077899,1760267742.0631182,41.599,-0.2535526,-6.40049051,0.11318888888888887,1.270403822732678
8,2010,Cardano,ADA,cardano,419,2017-10-01T00:00:00.000Z,9,2022-04-06T16:20:00.000Z,0.8335807343082475,1172501984.139641,5.8901,-1.13827062,-9.09502582,0.03561538461538462,2.5679548862388377
9,5805,Avalanche,AVAX,avalanche,226,2020-07-13T00:00:00.000Z,10,2022-04-06T16:20:00.000Z,64.75573939518328,1015998671.047797,16.9502,-0.25822804,-10.63100525,0.19767021276595736,0.4380265998738896
10,6636,Polkadot,DOT,polkadot-new,326,2020-08-19T00:00:00.000Z,11,2022-04-06T16:20:00.000Z,15.468599765799201,796346574.9273183,1.6746,-0.49163948,-9.96425839,-0.05984210526315787,0.24286620390820068
11,74,Dogecoin,DOGE,dogecoin,463,2013-12-15T00:00:00.000Z,12,2022-04-06T16:20:00.000Z,0.11385607034216373,4030326648.066077,71.168,0.23321804,-9.67147538,0.08317021276595749,0.6228849344282629
12,4687,Binance USD,BUSD,binance-usd,3435,2019-09-20T00:00:00.000Z,13,2022-04-06T16:20:00.000Z,0.7641460913819411,4479389253.665396,1.7806,-0.26921881,-0.48677864,0.16956249999999995,0.2454872387910393
13,7129,TerraUSD,UST,terrausd,411,2020-09-21T00:00:00.000Z,14,2022-04-06T16:20:00.000Z,0.7660924115574353,523134406.22898227,10.6411,-0.06067684,-0.37290017,0.08591025641025643,0.05032620109941342
14,5994,Shiba Inu,SHIB,shiba-inu,331,2020-08-01T00:00:00.000Z,15,2022-04-06T16:20:00.000Z,1.8811927604906952e-05,1416236439.6023452,117.2367,-0.27838849,-7.88001898,0.06907526881720431,0.3663144535749782
15,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,384,2019-01-30T00:00:00.000Z,16,2022-04-06T16:20:00.000Z,33680.91231777794,219410367.81798905,73.1556,-0.16891049,-4.63780774,0.08158695652173911,0.0024747283558173073
16,3890,Polygon,MATIC,polygon,364,2019-04-28T00:00:00.000Z,17,2022-04-06T16:20:00.000Z,1.1465804217144522,613422310.5139991,46.7525,0.22537334,-8.33791501,0.06403896103896105,0.5060674126507964
17,3635,Cronos,CRO,cronos,131,2018-12-14T00:00:00.000Z,18,2022-04-06T16:20:00.000Z,0.34263360940434423,58682665.24159198,-3.6995,-0.08369309,-6.17525428,0.1257083333333333,0.3964322251218316
18,6535,NEAR Protocol,NEAR,near-protocol,124,2020-08-11T00:00:00.000Z,19,2022-04-06T16:20:00.000Z,12.092514902072685,1344993842.5312092,10.3953,0.2475686,-5.75684345,0.017947916666666664,1.2257288498738959
19,4943,Dai,DAI,multi-collateral-dai,879,2019-11-22T00:00:00.000Z,20,2022-04-06T16:20:00.000Z,0.7641163837628853,299379940.6562966,42.8934,-0.08091612,-0.51027717,0.014519230769230767,0.40546936675412887
